video_id	dialog	start	end	duration	seq_start	seq_end	tan_mask	phase	idx
004QE	Q: is this a man or woman ? A: this person is a woman inside this video . 	0	30.6	30.6	[[0]]	[[30.6]]	[1]	train	0
004QE	Q: is she young or old ? A: i would say that she is at least inside of her thirties . 	0	30.6	30.6	[[0]]	[[30.6]]	[1]	train	1
004QE	Q: what part of the house is this being filmed ? A: her very small bathroom is where this takes place . 	0	30.6	30.6	[[0]]	[[30.6]]	[1]	train	2
004QE	Q: does she turn on the water ? A: no she has nothing to do with the water . 	0	30.6	30.6	[[0]]	[[30.6]]	[1]	train	3
004QE	Q: what are the items in her hand ? A: she has a mug of a drink in her hand and she also has what appears to be a medicine bottle in the other hand . 	0	30.6	30.6	[[5.391811, 23.861221]]	[[23.861221, 30.6]]	[1]	train	4
004QE	Q: does she drink from the mug ? A: yes but i don 't think there is anything in the mug . i think she is pretending . 	0	30.6	30.6	[[16.179072]]	[[19.438165]]	[1]	train	5
004QE	Q: does she take any of the medicine ? A: no she just opens the medicine bottle i don 't see her take anything out . 	0	30.6	30.6	[[0]]	[[30.6]]	[1]	train	6
004QE	Q: does she appear to be sick ? A: no she isn 't sick but when she takes a sip of the mug her reaction is over the top joy . 	0	30.6	30.6	[[2.832307]]	[[30.6]]	[1]	train	7
004QE	Q: does she ever leave the bathroom ? A: yes she does leave the bathroom . 	0	30.6	30.6	[[28.748649]]	[[30.6]]	[1]	train	8
004QE	Q: does she talk to anyone ? A: no she does not talk to anyone . she comes into the bathroom sits down on the toilet . opens up the medicine bottle . drinks a sip from the mug . gets up and leaves . 	0	30.6	30.6	[[0]]	[[30.6]]	[1]	train	9
00HFP	Q: is this a man in the video ? A: yes the man is the only one . he comes in to the video and he grabs shoes under the desks puts them down kicks them and never puts them on . this is the entire video so read this .. 	0	31.127937	31.127937	[[0, 0, 7.257368, 14.030912, 20.124944, 13.795163]]	[[31.127937, 4.751958, 10.232648, 20.308073, 24.107853, 31.127937]]	[1]	train	10
00HFP	Q: what room does this take place of ? A: it looks like a bedroom but uncertain . 	0	31.127937	31.127937	[[0]]	[[31.127937]]	[1]	train	11
00HFP	Q: does the man speak ? A: no one speaks in the video . 	0	31.127937	31.127937	[[0]]	[[31.127937]]	[1]	train	12
00HFP	Q: does he sneeze or cough ? A: he does not do any of the sneezing or coughing . 	0	31.127937	31.127937	[[0]]	[[31.127937]]	[1]	train	13
00HFP	Q: what else does he do other then kick his shoes ? A: thats it he drops them before that 	0	31.127937	31.127937	[[13.252403, 16.444953, 19.938357]]	[[15.34874, 21.389057, 23.071047]]	[1]	train	14
00HFP	Q: does he seem angry ? A: he does not seem angry one bit . 	0	31.127937	31.127937	[[1.823338]]	[[10.650973]]	[1]	train	15
00HFP	Q: does he hold anything ? A: his shoes before he drops them . 	0	31.127937	31.127937	[[11.154159, 13.855977, 16.274334]]	[[13.855977, 15.534774, 19.95325]]	[1]	train	16
00HFP	Q: does he eat or drink anything ? A: he does not eat or drink a thing . 	0	31.127937	31.127937	[[0]]	[[31.127937]]	[1]	train	17
00HFP	Q: so a man is in a bedroom and he takes his shoes from under a desk and he puts them on the floor ? A: this is completely correct . you are on it now . 	0	31.127937	31.127937	[[4.437626, 14.352179]]	[[9.495236, 20.13688]]	[1]	train	18
00HFP	Q: is there anything i am missing ? A: no you are not missing a thing . great job ! 	0	31.127937	31.127937	[[0]]	[[31.127937]]	[1]	train	19
00MFE	Q: is there sound in the video ? A: yes , i can hear sound . 	0	20.566667000000002	20.566667000000002	[[0.650551]]	[[20.566667000000002]]	[1]	train	20
00MFE	Q: is she alone the whole time ? A: yes , she is the only person that i can see in the video . 	0	20.566667000000002	20.566667000000002	[[0.656691]]	[[20.566667000000002]]	[1]	train	21
00MFE	Q: is she in the room at the beginning ? A: yes she is in the room at the start . 	0	20.566667000000002	20.566667000000002	[[0.635819]]	[[20.566667000000002]]	[1]	train	22
00MFE	Q: what is she doing when she has her head back and arms up ? A: she is combing her fingers through her hair . 	0	20.566667000000002	20.566667000000002	[[0.868694]]	[[20.566667000000002]]	[1]	train	23
00MFE	Q: does she take a drink of water from the glass she touches ? A: yes , she takes a drink of water . 	0	20.566667000000002	20.566667000000002	[[1.399343]]	[[20.566667000000002]]	[1]	train	24
